,Approved Amount,Institution,Location Tag,postalcode,canton
161,1350000.0,Forschungsstelle für Orts- und Flurnamen,,None,None
162,335551.0,Forschungszentrum für Gebärdensprache,,None,None
163,6708.0,Forum Ost-West,,None,None
164,10000.0,Foundation for Research on Information Technologies in Society (IT'IS),,None,None
165,3254994.0,Französisches Etymologisches Wörterbuch,,1205,GE
166,150500.0,"Fraueninformationszentrum für Frauen aus Afrika, Asien und Lateinamerika",,None,None
167,252818.0,Freies Gymnasium Zürich,,None,None
168,210000.0,GGG,,None,None
169,287307.0,Geneva Centre for the Democratic Control of Armed Forces (DCAF),,1201,GE
170,250998.0,Geobotanische Kommission der SNG,,None,None
171,150530.0,Geschichte der Naturwissenschaften MN-Fakultät Universität Zürich,,1680,FR
172,5387806.0,Gesellschaft für Schweizerische Kunstgeschichte,,None,None
173,1673717.0,Gesundheitsdienst der Stadt Bern,,None,None
174,164900.0,Gymnase cantonal de la Cité,,None,None
175,8378.0,Gymnase de Bellerive,,1700,FR
176,65300.0,Gymnase du Bugnon,,1012,VD
177,220279.0,Gymnasien Kirchenfeld,,None,None
178,54509.0,Historische und Antiquarische Gesellschaft zu Basel,,None,None
179,17360.0,Historischer Verein des Kantons Schwyz Amt für Kulturpflege,,None,None
180,2150.0,Historisches Lexikon der Schweiz,,None,None
181,394162.0,Historisches Museum,,None,None
182,14797050.0,Hochalpine Forschungsstationen Jungfraujoch & Gornergrat Universität Bern,,1003,VD
183,46100.0,Holbeingymnasium,,"1202 Geneva, Switzerland",None
184,360000.0,Hôpital de Zone de Morges,,None,None
185,1226707.0,Institut Suisse prophylaxie alcoolisme,,None,None
186,769727.0,Institut d'Histologie et d'Embryologie,,None,None
187,567981.0,Institut d'éthique sociale de la Fédération des Eglises protestantes de la Suisse,,6900,TI
188,381058.0,Institut d'études médiévales Université de Fribourg,,None,None
189,851489.0,Institut de Microbiologie Université de Lausanne,,None,None
190,263597.0,Institut de Zoologie Faculté des Sciences Université de Neuchâtel,,6002,LU
191,7000.0,Institut de recherches économiques Université de Neuchâtel,,8006,ZH
192,378932.0,Institut für Bildungsevaluation Assoziiertes Inst. der Universität Zürich,,1950,VS
193,50000.0,Institut für Geophysik ETH Zürich,,None,None
194,248610.0,Institut für Pflegeforschung SBK,,None,None
195,83918.0,Institut für Strahlenhygiene BfS,,None,None
196,2864180.0,Institut für Viruskrankheiten und Immunprophylaxe,,None,None
197,68244.0,Institut für chirurgische Technologien und Biomechanik (ISTB) Universität Bern,,6500,TI
198,128743.0,Institut suisse de la santé publique,,None,None
199,426369.0,Internat. Environmental Law Research Centre Internat. Environment House,,"Geneva, Switzerland",None
200,10000.0,International Society of Electrochemistry,,"Geneva, Switzerland",None
201,96839.0,Ispettorato forestale cantonale,,None,None
202,40000.0,Istituto Batteriosierologico Cantonale,,None,None
203,156555.0,J.-v.-Müller-Kuratorium,,"1014 Lausanne Adm Cant., Switzerland",None
204,2568156.0,Jacob Burckhardt-Stiftung,,None,None
205,138012.0,"Justiz-, Gemeinde- und Kirchendirektion",,None,None
206,800000.0,Justizdirektion Nidwalden,,None,None
207,371641.0,"Kanton. Aufsichtsstelle Datenschutz Justiz-, Polizei- und Militärdirektion",,None,None
208,3429745.0,Kantonale Denkmalpflege,,None,None
209,280000.0,Kantonale Denkmalpflege Zug,,None,None
210,656715.0,Kantonale Fachstelle für Archäologie Staatsarchiv des Kantons Nidwalden,,None,None
211,119000.0,Kantonale Planungsgruppe,,None,None
212,16280.0,Kantonsarchäologie,,None,None
213,836915.0,Kantonsarchäologie Aargau,,None,None
214,257139.0,Kantonsarchäologie Basel-Landschaft,,None,None
215,446758.0,Kantonsarchäologie Schaffhausen,,None,None
216,250776.0,Kantonsarchäologie St. Gallen,,None,None
217,1595886.0,Kantonsbibliothek Vadiana,,None,None
218,422794.0,Kantonsschule Abt. Biologie,,None,None
219,100000.0,Kantonsschule Appenzell A.Rh.,,None,None
220,62000.0,Kantonsschule Baden,,None,None
221,474499.0,Kantonsschule Enge,,None,None
222,215892.0,Kantonsschule Freudenberg,,None,None
223,135000.0,Kantonsschule Riesbach,,None,None
224,76202.0,Kantonsschule Rychenberg,,None,None
225,313534.0,Kantonsschule Sargans,,None,None
226,78219.0,Kantonsschule Schlossfeld,,None,None
227,36948.0,Kantonsschule Stadelhofen,,None,None
228,93200.0,Kantonsschule Zug,,None,None
229,90000.0,Kantonsschule Zürcher Oberland Lehrer- und Lehrerinnenzimmer,,None,None
230,3000.0,Kantonsschule am Burggraben Rektorat,,None,None
231,245784.0,Karl Barth-Archiv,,None,None
232,616089.0,Karl-Jaspers-Stiftung,,None,None
233,132616.0,Kommision der Diplomatischen Dokumente der Schweiz SAGW,,None,None
234,122171.0,Kommission des Phonogrammarchivs Universität Zürich,,None,None
235,721284.0,Kommission für das Corpus Vasorum Antiquorum Antikenmuseum,,None,None
236,79732.0,Kommission für das Corpus philosophorum medii aevi der SGG,,None,None
237,275800.0,Kommission für das Mittellateinische Wörterbuch der SAGW,,None,None
238,300000.0,Kommission für die Schweiz. Kunst- und Kulturdatenbank der SAGW,,None,None
239,174862.0,Kommission für klassische und orientalische Archäologie Archäologisches Seminar,,None,None
240,183348.0,Kommission zur Herausgabe der Basler Rektoratsmatrikel,,None,None
